year,month,day,week,temp_2,temp_1,average,actual,forecast_noaa,forecast_acc,forecast_under,friend
2017,7,12,Mon,100,-13,19.923737209516617,14,79,87,76,55
2011,12,22,Fri,40,36,-18.577209502511618,46,40,-17,14,5
2010,6,13,Thu,2,100,77.5128598308756,62,64,96,-5,75
2012,11,10,Sun,-15,34,95.85099615497671,1,65,-5,81,14
2020,1,17,Fri,54,58,15.00124942444883,-1,-11,96,19,56
2022,4,30,Wed,39,-20,-6.44974752404357,79,66,-18,48,62
2010,3,11,Tue,86,19,95.37980932538538,62,-16,68,-13,35
2022,12,5,Sun,94,2,69.60667356023328,89,40,42,33,56
2015,3,25,Thu,6,79,87.82823381793898,47,91,60,12,35
2014,7,27,Tue,34,33,23.666014316366358,75,55,1,30,65
2020,11,9,Sat,10,21,38.57153536726314,-13,100,61,73,27
2014,12,13,Fri,9,59,92.5590044363123,30,9,75,-19,2
2003,10,28,Fri,46,29,35.6058461001583,5,36,-3,17,44
2010,4,31,Mon,-8,-17,61.32353056301882,30,12,36,35,-13
2018,12,20,Thu,38,-13,65.2806541719911,97,16,69,81,88
2014,8,23,Fri,33,15,81.29077494983954,44,61,93,-1,82
2003,11,30,Wed,83,-11,97.99665792447146,5,47,4,31,96
2020,9,11,Sat,0,95,20.522819305094032,97,70,7,-12,96
2012,3,23,Wed,22,9,9.941552768158427,26,90,19,44,77
2021,5,4,Tue,-10,79,-10.5975801485642,22,2,2,45,-8
2018,4,21,Sat,88,-5,83.64104034792734,-12,49,-13,95,87
2001,12,11,Sat,46,9,15.414264499976113,14,-14,-8,-2,28
2013,10,9,Wed,17,43,-13.996851762927209,61,-2,23,-5,84
2003,6,7,Fri,74,87,84.69772721111674,-2,89,100,84,-11
2015,11,16,Wed,3,53,41.69904076893533,27,-6,26,48,-18
2020,10,23,Thu,85,100,81.4358977505074,59,96,-11,75,7
2019,4,26,Tue,30,-10,47.092317131635184,7,91,20,99,6
2013,8,23,Sun,55,13,17.96129960052472,-18,65,46,-1,64
2014,3,31,Sat,40,59,-4.2964274016592,-3,11,53,86,-10
2002,11,25,Thu,25,34,32.896543045224185,-8,58,28,31,67
2007,5,5,Fri,22,62,-16.787565846188812,6,38,43,-7,-9
2015,1,6,Fri,6,87,52.89759258396626,95,49,-6,56,-14
2009,6,19,Wed,64,-17,31.747421042270624,19,49,67,70,98
2003,11,1,Mon,68,28,-2.8756402688740472,18,100,40,14,21
2017,5,27,Sat,9,23,44.1583733883553,37,-15,53,36,75
2001,8,16,Sat,73,10,76.91019435645947,36,55,31,13,-11
2016,9,28,Mon,42,27,97.95083462780802,3,45,64,38,40
2012,8,18,Fri,-11,78,43.81037826818193,72,68,25,59,43
2003,8,24,Fri,-18,77,-4.324333713767928,98,-17,38,7,7
2010,12,13,Sun,56,5,78.0954484750848,1,98,27,22,5
2006,3,1,Sun,39,82,64.19041926681844,30,49,97,14,72
2011,4,10,Sat,6,49,95.43052095407533,69,36,81,-6,70
2009,11,7,Sun,61,76,44.76077273186358,63,85,18,-18,31
2006,4,5,Sun,24,90,23.2095737293201,67,40,21,70,53
2012,11,13,Tue,41,70,96.50365457605426,55,94,30,6,-17
2006,5,22,Sat,3,-9,45.151794353781014,61,35,29,94,85
2016,9,16,Fri,25,24,-18.07541316670376,90,80,71,-17,1
2009,12,24,Fri,57,-13,37.31395053472781,55,81,84,64,-11
2009,9,20,Sun,82,-12,-19.7122582571812,17,-7,45,1,-17
2003,10,22,Tue,23,-20,69.26264541207794,75,90,20,48,-14
2019,12,14,Sun,100,-16,48.479358740599466,40,62,37,84,42
2003,1,11,Sun,42,50,-6.71406544916195,28,94,-17,82,93
2021,8,19,Thu,-17,61,78.37436817688283,2,-14,86,2,66
2006,1,23,Thu,-5,33,44.90890570292382,-17,33,28,66,46
2021,2,2,Tue,30,83,-6.198694300377468,55,61,-18,-8,67
2000,7,28,Tue,53,3,-0.6386840936817357,60,37,11,39,90
2011,8,8,Thu,91,5,79.4745660763722,64,40,26,6,80
2012,1,13,Thu,80,-11,23.013911931287247,16,87,41,98,9
2009,3,7,Thu,70,40,79.35262517770758,72,51,77,29,84
2014,7,12,Thu,27,19,-11.590093689527121,-15,7,-5,99,95
2012,9,28,Sat,44,23,9.50694653758659,90,64,47,58,55
2022,8,8,Sat,48,91,72.51449408275694,7,34,-3,-9,0
2021,8,16,Sun,56,-9,57.64595663132401,-13,78,71,-11,27
2021,9,18,Wed,24,97,17.12576679818374,74,90,85,28,86
2020,10,19,Sun,-18,1,93.25919886485684,-1,53,-15,81,-4
2021,3,28,Tue,-4,6,5.539014489435925,-5,32,86,71,46
2008,8,4,Mon,62,46,82.82332790074322,-8,71,85,86,58
2008,1,28,Wed,16,61,64.18500845896662,98,62,44,14,79
2014,8,25,Mon,-16,48,-5.344833869146159,58,23,59,17,75
2009,7,28,Mon,26,-7,47.16899093845059,95,78,16,33,-12
2009,8,12,Fri,85,4,92.51881726856672,41,7,52,99,19
2007,1,16,Tue,23,31,54.886421915926036,56,25,42,-1,93
2015,6,21,Sat,67,74,43.98569520330544,90,28,60,-9,65
2016,7,22,Wed,86,64,24.32510607302312,45,46,79,-18,79
2004,11,17,Sun,12,91,75.44336502351604,99,82,77,-19,75
2003,5,4,Tue,98,97,90.48016487992065,32,6,38,71,38
2017,5,30,Thu,0,38,71.1513313653218,63,100,74,1,48
2018,7,20,Tue,46,17,67.75517250481566,7,60,13,14,20
2003,11,26,Mon,47,91,3.2913346608923213,-3,58,16,88,91
2006,3,24,Sat,94,-1,80.91234737365772,-14,95,13,95,47
2009,6,24,Thu,11,57,-15.075801532771068,0,85,24,-12,27
2017,7,26,Tue,3,-1,71.6407386608523,20,18,80,66,40
2018,1,22,Tue,95,35,5.515274168234775,18,65,-20,-4,-16
2003,12,24,Sat,14,80,38.958613668123185,52,63,32,-7,-14
2009,2,9,Mon,-3,89,64.12330759080278,87,6,41,95,54
2000,12,5,Sun,46,9,71.84848798171413,-11,14,-6,11,82
2022,4,17,Thu,82,86,87.45815688449125,10,97,74,38,-15
2017,8,17,Mon,33,96,14.193649459677886,21,26,30,83,8
2004,11,2,Sat,5,20,7.142749406457348,56,31,-7,37,30
2014,10,2,Tue,39,63,100.54579109235256,48,48,87,15,60
2016,6,21,Sun,96,50,5.114538422681129,38,45,77,12,7
2002,1,23,Wed,67,42,60.52317035388877,97,20,38,53,36
2011,10,7,Wed,44,48,95.28210766128036,83,29,31,43,42
2001,5,31,Fri,30,74,88.48327442455405,85,24,-20,-8,17
2000,7,4,Wed,93,8,33.63487592869747,17,-1,78,13,62
2022,6,13,Sat,77,58,57.147382204770324,22,99,54,-16,28
2020,12,20,Sat,39,68,44.02065024827915,79,50,-4,49,87
2016,9,30,Sat,38,56,21.945325557162747,-19,15,35,12,-9
2021,8,30,Thu,55,23,-2.524925771975589,-15,51,-16,-16,24
2015,4,11,Fri,-4,67,77.2107019118296,56,70,-4,67,81
2004,11,31,Thu,64,58,-9.056555784782567,8,49,-3,90,62
2014,12,26,Sun,0,67,53.76491314412942,87,3,68,51,76
2002,5,3,Wed,46,69,51.9186698737894,57,15,34,-3,24
2006,7,27,Sun,87,62,20.513744966423452,9,-16,78,68,-16
2010,8,2,Wed,7,36,-3.6155645427147896,68,63,26,-3,44
2009,5,16,Tue,68,3,76.75609240700138,19,98,59,79,14
2008,9,3,Thu,23,-2,35.892853866195956,78,-1,90,5,14
2013,10,24,Mon,49,85,67.75801986883226,16,32,28,63,90
2012,12,15,Sun,41,-4,-18.005217951546406,97,84,93,-1,90
2001,4,17,Tue,21,91,-10.985117122480194,-14,19,2,82,10
2002,4,16,Thu,73,48,1.277569827842008,29,77,83,83,97
2006,8,20,Sat,75,40,-6.225591849514187,81,82,0,67,15
2020,1,7,Fri,1,-17,3.1965192863702647,-3,29,8,63,19
2017,8,16,Sun,17,99,63.06505625899422,-13,53,39,88,78
2002,5,5,Thu,-7,1,-14.313354226025268,50,46,25,-17,19
2009,11,2,Fri,77,53,-15.418260935046899,77,92,79,1,40
2021,1,1,Sun,86,64,-16.170095599489887,79,77,-11,68,-9
2006,4,22,Fri,90,68,64.41554407751129,34,14,63,64,98
2008,2,29,Sun,5,-15,44.872392159817906,84,43,32,61,61
2016,4,13,Wed,19,9,24.799331811935453,27,16,-14,88,71
2010,8,16,Mon,33,72,61.74855688125328,94,24,9,89,-8
2006,5,5,Sun,-8,54,46.98611694202617,53,88,72,52,9
2013,1,3,Thu,73,-10,-19.112484290296386,37,17,34,87,19
2018,7,27,Mon,-2,27,81.46451914040787,83,89,95,-12,-4
2003,1,27,Fri,21,25,22.372310366160058,72,66,44,38,52
2005,9,15,Wed,20,6,28.346912850707184,-5,80,0,12,82
2009,3,16,Sun,29,-2,74.65708455017469,4,64,-14,84,1
2006,12,11,Mon,82,65,2.6379887032819305,8,6,23,-14,35
2012,3,25,Tue,-18,71,-18.781305491208546,-13,99,47,12,41
2013,6,19,Fri,10,38,89.96943971231855,63,44,82,45,36
2003,10,18,Tue,55,47,41.1628689205666,79,52,99,93,-6
2007,6,21,Sat,-6,80,22.29278274206537,34,-18,-6,51,72
2004,11,9,Mon,33,33,79.10451513396441,31,38,77,76,99
2000,11,8,Mon,32,100,-16.818315503377086,70,81,-19,38,33
2003,6,22,Mon,24,62,4.477189357780553,56,79,80,14,-5
2002,1,19,Sat,17,-4,-1.2101444405387767,5,77,-18,72,63
2008,5,22,Thu,83,29,69.27751279498447,85,9,27,11,68
2007,12,5,Fri,57,19,17.762496832638924,98,74,47,-20,83
2000,6,17,Fri,78,79,73.52171621028211,4,73,26,96,3
2005,8,5,Sun,59,66,-14.981350283550995,71,-5,92,74,59
2008,1,14,Sun,29,93,53.58198491381917,52,8,22,31,94
2006,5,7,Sun,3,71,18.50470764920054,100,49,79,14,59
2003,3,9,Fri,-4,-10,2.6173121662550223,5,57,6,19,4
2012,2,28,Thu,-3,-7,78.82856408254881,55,53,-17,23,25
2016,11,31,Mon,21,-8,29.882264955184603,69,67,15,18,34
2001,8,17,Mon,-4,67,49.16718126242327,26,79,62,-1,91
2004,7,3,Sat,-5,59,-15.996854902675405,65,3,77,76,-20
2011,10,8,Tue,64,7,75.78656659069006,-20,-14,59,66,29
2020,7,22,Thu,67,73,14.712788010185918,43,28,31,-18,29
2007,5,13,Wed,77,23,63.90214267035576,-9,42,24,32,12
2005,12,16,Thu,31,84,72.01742475911742,3,80,83,-9,92
2007,9,21,Sat,15,42,-5.828932845785964,9,25,30,-13,95
2017,5,29,Tue,86,82,15.80396824092226,-7,91,65,43,50
2002,2,10,Tue,70,85,67.53624992074714,97,83,11,20,81
2021,3,18,Sun,18,40,8.093483240781389,2,27,-19,90,88
2011,4,3,Sun,60,70,82.62904819860022,-19,81,-4,-10,71
2002,5,12,Tue,4,-4,17.74879723686113,-18,4,2,5,82
2021,3,16,Mon,94,29,28.681955115556057,-15,22,23,66,7
2005,12,18,Wed,81,100,-7.93105498531413,62,34,25,17,11
2001,7,17,Tue,21,5,-2.131310648265316,0,13,-9,-16,67
2022,5,7,Fri,0,-14,13.326017017229326,88,44,33,11,-13
2011,5,30,Mon,47,78,-14.082031781816445,-1,7,-8,48,23
2001,6,19,Wed,68,58,3.3569058492859085,0,20,53,91,75
2005,7,23,Fri,38,-5,29.48210622660227,19,8,47,-6,7
2016,10,28,Wed,9,64,25.97543187093713,47,11,50,40,91
2002,10,23,Sat,36,-4,4.042019959065964,4,48,97,86,46
2001,8,8,Wed,12,88,-10.265467253732416,94,13,45,31,-14
2022,9,17,Fri,82,69,18.495888014920958,50,38,-6,66,-15
2019,11,21,Thu,69,14,70.18693951951737,50,89,79,92,72
2007,4,26,Wed,68,63,41.72204823332268,12,40,41,7,24
2021,5,25,Thu,32,63,94.56328088061126,30,31,52,-2,-7
2011,5,28,Wed,-5,2,-3.0737543430111813,69,42,3,33,24
2003,8,27,Sat,28,48,5.0854713030997445,60,5,49,60,38
2004,9,7,Fri,67,-12,13.91624357031862,51,56,40,-6,19
2012,7,1,Wed,-16,66,-18.42677012262201,69,-9,92,-8,62
2014,5,8,Tue,97,-3,94.14903789328262,96,1,50,66,25
2022,3,19,Sat,98,72,33.889023604599124,58,52,59,61,38
2015,1,29,Tue,85,54,38.27958674496989,-1,35,60,2,68
2009,11,20,Sat,82,86,-0.8992513936708093,-2,-15,73,59,16
2022,9,20,Sat,56,27,85.59642050301554,50,15,51,41,61
2015,5,31,Sun,73,51,63.80850063381132,35,53,-18,63,47
2011,9,10,Wed,39,70,32.19467949039313,35,80,68,4,98
2016,10,30,Fri,50,45,86.2345510941774,88,38,8,11,44
2015,12,12,Sun,90,2,89.56038632998221,-20,38,0,0,76
2011,4,24,Fri,60,64,-14.012854534394902,18,75,33,-20,7
2007,5,1,Mon,34,-11,-5.561724644741767,16,47,95,7,20
2019,4,24,Fri,70,17,-16.656975777887517,-3,31,-15,70,62
2002,2,25,Thu,14,38,50.38935989888995,51,99,100,95,76
2015,12,25,Wed,48,47,6.371207081324556,58,47,66,70,-6
2012,1,21,Tue,21,64,82.23629810749208,93,56,93,88,88
2022,8,4,Fri,48,80,36.3755771226282,-15,59,-10,79,66
2018,4,4,Tue,3,98,81.36287931368939,80,86,49,-9,72
2007,5,9,Mon,50,22,47.228232038925725,1,30,6,58,18
2021,6,15,Wed,50,-9,76.33630345898328,-10,93,70,-1,57
2004,8,24,Fri,97,91,24.994455991865735,69,69,56,87,73
2019,11,26,Sun,34,95,94.39265470611915,51,76,39,62,45
2007,8,15,Tue,-7,32,60.726205417963854,-12,96,52,30,56
2011,7,26,Sun,34,89,52.05435587215065,-8,47,51,5,83
2000,4,28,Sat,-6,-7,22.63515874272717,-18,5,88,90,7
2020,6,7,Sun,-16,31,93.39926144744166,46,52,6,64,10
2019,4,12,Fri,80,63,20.86586242754894,-14,20,11,80,-9
2005,7,3,Mon,-17,90,81.13899166235883,46,54,72,22,-8
2021,12,20,Sun,9,51,28.92129412732902,54,-16,89,29,-18
2017,12,31,Sat,63,70,72.82926418169299,25,32,12,53,42
2007,11,9,Tue,32,80,90.33722778526871,37,17,-16,7,8
2006,1,14,Tue,69,40,36.338461152250545,7,95,81,5,94
2000,5,13,Wed,52,20,43.66236068105192,96,75,-12,56,43
2020,10,24,Sun,9,0,19.971491617867045,85,72,95,4,73
2015,12,28,Sun,87,27,-13.381823594203805,10,81,-8,94,55
2011,10,12,Wed,91,35,58.95022495578813,31,83,76,10,64
2005,4,1,Tue,65,14,-5.523254530774265,-12,71,73,63,45
2019,11,19,Sat,83,23,22.8411303721729,70,32,97,58,95
2001,7,30,Sun,84,18,22.288763092625558,55,67,68,-3,29
2013,9,16,Wed,87,92,-1.7285378435764827,-13,35,-15,19,59
2003,5,12,Tue,73,-6,60.67194822561878,87,-2,82,66,75
2000,4,10,Sat,63,90,1.126519029061754,84,97,53,46,71
2022,9,2,Thu,71,-9,74.17869825074911,65,44,15,42,52
2017,5,18,Fri,40,96,10.162767651566746,-3,48,29,-10,97
2012,9,13,Sun,50,77,14.761785809522863,99,66,40,6,-4
2001,8,29,Thu,96,-13,21.591124548453045,73,32,27,16,100
2008,4,24,Thu,47,97,-1.5169401328840628,28,-2,62,-9,35
2020,11,6,Fri,71,80,32.546002881469846,-10,45,-10,76,93
2001,11,12,Tue,34,73,-10.280659968989195,96,27,-4,7,62
2008,7,28,Tue,78,46,31.68104624847974,-19,45,-19,-15,-14
2000,5,28,Wed,76,73,21.1293680245212,8,52,-14,49,15
2010,10,29,Mon,50,72,20.930119112421792,34,-3,84,23,19
2002,4,22,Tue,52,-20,59.94158447328415,32,59,36,64,-20
2019,5,4,Fri,77,59,73.05176781186842,5,18,10,68,21
2022,5,1,Mon,82,21,23.075821192886508,30,52,100,26,15
2003,11,11,Fri,21,10,11.70377773925798,57,87,38,15,92
2017,9,23,Fri,77,53,39.816281601484256,98,30,74,61,18
2022,12,8,Fri,56,9,75.31400813243465,71,2,25,23,100
2005,9,2,Sun,8,22,57.99332710972709,78,12,60,82,-20
2002,6,2,Sun,14,5,-15.401836919149439,-15,39,58,48,91
2021,4,16,Mon,24,-9,38.071472373170444,79,81,-14,2,67
2010,2,1,Thu,53,83,99.90677270074771,-9,38,73,2,42
2014,3,4,Sun,73,38,22.72843084938677,13,77,82,66,53
2021,2,6,Sat,87,48,33.32673296873786,100,5,-7,14,54
2004,5,30,Fri,69,52,14.776214501667283,49,-4,74,72,81
2019,6,21,Sun,78,-10,40.221057440611084,43,32,-12,48,65
2009,11,20,Wed,71,26,-0.5285199691457407,16,57,-12,40,35
2011,5,14,Tue,8,2,9.888650434647051,16,56,92,60,10
2014,2,20,Sat,95,60,66.12009331625174,-13,65,96,17,-20
2016,12,26,Tue,49,22,-3.2672979639451896,16,22,-19,31,20
2009,5,15,Tue,-18,56,92.06339540055626,99,27,87,-19,-10
2005,9,7,Mon,72,60,17.26320942825241,83,61,65,-2,-15
2017,4,7,Wed,36,66,49.578036727155435,76,-1,-5,90,30
2012,12,18,Wed,45,18,18.94151198554748,95,73,-19,42,43
2002,10,29,Sat,98,52,37.8417238687518,84,14,58,46,88
2009,2,23,Wed,1,61,89.35996069380832,25,12,49,73,60
2013,3,2,Wed,89,34,-11.70214889649796,10,89,2,76,57
2005,3,20,Wed,90,-3,83.61745783159635,77,60,97,2,75
2002,9,15,Sat,93,73,47.46641609736565,-10,78,7,5,-1
2015,4,1,Thu,6,21,60.47362230117196,15,55,22,9,96
2006,1,21,Wed,94,87,-13.237664917966514,47,-19,42,-2,-17
2019,1,17,Sun,1,5,72.1292931955312,-4,13,-4,18,18
2013,7,20,Wed,53,-3,-4.538811820031112,-5,55,15,69,26
2008,7,29,Mon,95,64,96.74336275459738,9,69,-2,75,1
2014,2,25,Mon,92,84,76.71376042584413,18,11,-16,85,72
2020,9,13,Sun,28,20,39.63702543944824,23,0,2,7,21
2002,9,12,Wed,62,21,91.82420182484043,92,-16,87,52,80
2001,5,24,Thu,3,12,0.4578671419312883,48,7,-2,40,56
2001,3,22,Wed,6,22,99.9913396292836,83,66,-20,27,58
2002,3,15,Sun,15,-7,66.73510444630031,95,27,6,74,14
2017,12,24,Wed,86,34,-8.096272452071641,16,75,22,58,4
2013,3,5,Wed,-4,37,44.927572000718385,86,48,4,75,94
2019,6,7,Fri,35,-11,66.01604058395021,5,78,33,-8,-18
2017,4,8,Thu,-11,7,54.175693663068614,71,49,-15,65,30
2009,8,23,Tue,33,-7,31.297877272040104,62,62,79,83,-9
2001,11,14,Sun,60,62,10.02528557146912,0,87,60,-10,-7
2021,11,4,Wed,87,5,8.825768698688595,71,19,55,76,19
2000,11,21,Sun,53,53,92.16099494693229,-2,-15,4,67,11
2003,5,29,Tue,53,-4,8.403630832643664,79,-7,53,19,29
2013,1,14,Thu,17,13,96.45100912044045,-10,98,98,87,47
2000,9,10,Sun,60,97,5.437332041747311,-2,46,25,30,8
2013,1,22,Wed,69,-7,26.498337225478394,48,-10,82,49,10
2015,6,30,Tue,69,5,-18.50886540358025,-19,18,38,59,75
2021,1,30,Sun,94,93,89.28041666701814,4,20,98,9,3
2013,3,28,Sat,77,13,-7.373447284826312,94,3,34,9,-10
2019,10,16,Tue,-17,95,23.236840390070554,69,22,3,57,9
2002,5,11,Thu,29,62,81.9447039333568,9,88,54,33,92
2002,10,22,Wed,70,3,75.81965058850218,-4,61,3,-14,-2
2008,7,29,Fri,40,74,81.82162342862235,64,74,-18,46,15
2005,10,25,Thu,0,83,90.60701848376932,63,53,19,74,-15
2012,8,26,Fri,15,49,90.23956542661362,-3,5,-1,-11,-19
2020,12,14,Wed,81,-1,73.230398898923,90,8,66,76,82
2001,9,14,Tue,25,18,50.47326339604453,59,-19,48,40,-2
2007,6,2,Sat,74,100,47.94746126321148,71,9,79,100,25
2020,11,22,Sat,50,24,-18.43673630937156,55,82,56,81,91
2001,9,13,Sun,23,13,67.43100243522323,19,90,79,16,19
2003,8,3,Thu,43,1,7.427882543959573,100,53,49,-6,-3
2014,9,30,Thu,77,50,80.2723876861009,-15,55,45,29,84
2003,10,18,Thu,-3,12,47.010294304265784,67,63,72,-17,15
2012,4,22,Mon,67,-15,99.45699346775264,93,36,48,80,25
2011,9,4,Sat,-8,-5,5.4430915766266565,22,97,58,21,35
2012,7,21,Sat,-8,51,67.53930870845113,49,84,-13,47,31
2013,5,21,Wed,4,88,46.25158598962781,-4,38,77,-11,33
2019,5,19,Mon,-16,2,92.74862819579981,21,-2,96,95,35
2017,1,16,Thu,18,-3,12.18523869364126,-2,33,34,1,96
2005,2,28,Thu,8,-7,-12.80805069276515,90,49,16,10,97
2010,10,4,Fri,87,29,45.807741629627856,91,99,69,79,93
2001,3,19,Sun,36,40,43.11517554594787,34,2,52,55,-1
2022,8,23,Mon,25,15,17.716573619269134,71,62,100,52,80
2018,6,15,Sun,12,-6,99.37107351972868,8,74,51,7,-20
2018,12,1,Tue,67,-16,-11.56491767735082,92,12,-7,77,2
2004,10,16,Sun,-11,32,48.91193185195617,33,45,27,48,17
2018,11,15,Sat,37,89,11.486246336359905,50,58,68,73,-1
2001,5,16,Wed,4,27,-19.768646589508233,62,-10,77,59,-17
2009,1,22,Tue,84,58,99.52974563568148,-13,69,46,-2,94
2001,12,20,Tue,53,-10,38.27515324179319,-13,-3,11,99,92
2010,11,1,Wed,18,-19,83.72004971303791,48,44,15,57,81
2017,12,17,Thu,-5,66,81.64813599778735,22,11,90,26,48
2014,9,5,Sat,39,3,78.28568236636448,77,-17,-16,94,-15
2008,3,30,Fri,7,61,35.54108758252343,29,65,58,3,42
2022,3,5,Thu,55,47,88.40708446045771,64,15,71,35,69
2018,2,26,Sun,23,58,24.439939715232754,-17,72,-3,93,-20
2008,4,7,Thu,37,-9,29.41481711039213,87,79,88,-10,93
2002,12,13,Mon,11,38,10.94032869794286,15,36,-10,56,42
2020,2,12,Tue,42,46,34.2182941842123,-16,93,53,53,58
2008,9,4,Tue,94,11,99.36652454018062,92,12,-17,72,59
2013,12,30,Sat,72,15,49.36212013268484,66,82,-1,82,66
2018,10,25,Sun,24,0,80.56282769186741,-2,-7,-16,70,84
2006,7,4,Tue,32,91,11.86449302297471,21,27,42,33,65
2015,8,23,Fri,40,49,95.66640371500229,89,90,33,38,33
2015,3,21,Fri,29,45,-18.406040535219308,-6,16,44,44,48
2000,6,31,Sun,6,97,92.55967148871399,37,88,56,11,22
2003,10,21,Fri,5,-12,88.65847072697163,-7,-16,89,-3,-16
2003,6,6,Wed,-18,55,-11.849897810732797,27,29,65,-17,49
2006,1,24,Sun,69,23,53.18645400446955,51,40,91,59,45
2007,6,15,Sat,18,38,75.01453034833993,52,65,-8,61,-11
2016,3,21,Fri,44,3,28.86075359412397,83,48,58,64,97
2004,11,31,Mon,14,42,-8.885265005751535,54,80,52,30,15
2006,3,19,Mon,32,57,80.35739123052879,87,17,-18,26,89
2019,3,6,Thu,70,92,36.44629642266588,89,25,-19,33,14
2019,10,30,Thu,25,20,11.853262271445193,61,77,-9,4,24
2003,11,12,Sat,47,55,-11.426491708072174,42,-6,67,-11,2
2005,11,14,Sun,62,70,57.46079319905469,34,91,61,-14,41
2006,10,18,Thu,1,53,-14.881474810218714,11,16,35,96,26
2017,11,28,Thu,39,86,75.72235756626763,87,6,37,44,-5
2004,8,12,Mon,-15,-19,73.2609925216748,15,91,79,76,16
2019,5,24,Thu,31,74,19.076066813195112,88,-20,68,76,21
2002,4,24,Mon,52,7,37.14676836685799,64,8,31,-2,14
2006,9,15,Fri,54,-5,60.97557230365702,70,51,-6,-14,91
2021,9,19,Fri,65,38,96.0539865837343,91,76,-20,90,19
2013,1,28,Sat,90,-20,42.93827402463204,85,-14,51,24,-5
2006,2,8,Wed,52,65,100.59824843760694,64,8,92,84,48
2004,8,9,Thu,8,-20,19.33780044743405,54,10,80,57,-10
2021,5,5,Fri,22,10,43.705525540265,36,17,50,17,30
2004,7,5,Fri,53,1,-6.010517479978738,23,-13,78,-14,72
2022,1,6,Sun,13,77,47.32918846275702,93,74,81,25,91
2001,12,23,Sat,10,55,44.89391045693358,13,16,24,86,89
2020,10,3,Tue,65,38,82.70648364942286,30,38,-5,46,54
2021,12,5,Tue,25,98,100.58274169450891,48,58,-4,54,89
2005,5,1,Sat,-17,66,99.32755160284985,71,33,81,-13,59
2014,11,11,Mon,-19,7,8.59244467790062,95,95,9,69,68
2020,12,26,Wed,-16,95,20.95191199315674,-11,37,16,81,29
2009,3,21,Sun,25,93,13.233497039682128,91,75,-3,-18,46
2022,10,20,Sun,58,55,4.161225711822311,-9,5,79,72,46
2006,12,1,Sat,-2,6,-1.8335424008135952,20,27,55,-9,44
2004,12,7,Tue,17,66,41.9210255207116,-18,92,71,61,-9
2000,2,15,Wed,38,-20,85.57235267002528,44,-10,91,100,-14
2012,2,17,Fri,58,86,51.3739757595563,80,2,-10,22,22
2020,9,29,Sat,89,-19,85.59230168471062,19,13,39,-14,88
2017,4,8,Mon,51,87,96.09884997795585,92,12,38,73,25
2012,4,30,Wed,-1,74,26.360111935567282,44,60,86,85,75
2020,7,26,Tue,55,45,81.11580461277187,56,76,98,27,1
2020,10,28,Fri,47,28,-13.667438508290946,81,-19,49,59,55
2017,10,2,Sat,32,68,38.209851475274206,58,92,5,90,-15
2004,2,26,Sun,81,81,24.563879008798416,50,40,59,24,17
2012,3,13,Thu,86,91,4.787078225872154,9,-17,17,4,18
2003,3,12,Sun,34,-2,33.045529966844384,67,-9,-12,-17,81
2016,6,5,Sun,97,7,33.688006784893616,51,8,61,-17,39
2002,3,13,Fri,18,49,77.83329074414068,46,85,76,81,84
2016,11,6,Tue,100,18,85.13915201215609,58,85,93,29,64
2010,5,25,Sat,15,-2,59.491001343085614,79,90,62,37,41
2020,4,15,Tue,37,95,56.63996705103382,84,86,52,44,71
2019,3,30,Thu,-6,43,-6.667931558658859,22,82,25,85,75
2022,8,23,Sun,-20,37,49.606679264181096,32,21,23,46,6
2020,10,22,Fri,74,-4,13.207816935981128,57,62,21,7,28
2003,3,21,Wed,-12,49,15.666290101239234,70,36,52,89,92
2001,6,22,Wed,2,58,-8.532267076044937,9,29,87,54,-6
2019,7,31,Fri,31,65,56.94004649933662,20,45,48,16,12
2015,7,30,Wed,5,20,50.64081755161361,23,-14,2,-19,75
2017,2,11,Sun,83,77,6.652980626948153,16,36,94,52,25
2007,3,4,Sat,87,-16,11.82746775003017,96,25,85,40,77
2002,12,1,Fri,82,96,73.5331435134362,100,1,13,60,95
2008,10,15,Fri,39,2,75.94493699933749,-15,-10,81,75,97
2019,10,12,Tue,-3,48,39.66324241451146,62,12,1,30,50
2005,4,9,Mon,76,87,-1.970673829282493,16,33,48,10,-8
2009,7,11,Tue,84,-11,-13.273321889108892,-20,-1,44,64,32
2020,2,5,Wed,82,47,12.847732434911535,68,-16,5,60,18
2009,3,24,Mon,57,-9,68.47347973016306,-11,47,61,95,29
2012,7,7,Fri,37,90,52.69881251299287,89,-7,34,85,49
2016,7,8,Wed,44,-11,66.89091901940544,5,-18,69,60,94
2008,10,1,Thu,56,39,37.08150567659064,66,93,-6,22,39
2016,3,25,Wed,95,9,71.31941172527843,-4,61,45,70,-12
2008,12,1,Mon,58,93,38.17750110650468,43,37,32,7,85
2008,1,3,Mon,80,3,-9.834214925408187,73,6,58,18,-17
2000,12,8,Fri,48,48,-10.337146257415009,6,-17,-10,44,96
2001,3,28,Sat,-7,-8,80.61182902836626,54,46,37,-5,73
2015,5,11,Thu,57,79,56.184544438906954,47,43,88,46,71
2000,7,1,Fri,25,-12,13.774374152359691,-3,70,63,58,0
2009,4,14,Thu,48,-3,71.61822800306348,62,71,90,47,-9
2017,11,1,Thu,54,14,-3.576027782424571,79,65,21,15,56
2007,11,6,Fri,11,74,58.07445856429602,87,21,60,9,29
