Filial,Cidade,Sexo,Categoria,Tipo Cliente,Tipo Promoção,Vendas,Quantidade,Data,Semana,Mês,Ano,Preço Unitário,Preço Unitário com Desconto,Valor Total
Filial B,Manaus,M,Informática,Pessoa Física,Promoção B,57,1,2023-01-07,1,1,2023,115,92.0,92.0
Filial A,Macapá,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,75,16,2023-01-08,1,1,2023,181,144.8,2316.8
Filial B,Porto Velho,M,Móveis,Pessoa Física,Promoção A,12,15,2023-01-09,2,1,2023,161,144.9,2173.5
Filial D,Rio Branco,M,Móveis,Pessoa Jurídica,Promoção B,74,15,2023-01-10,2,1,2023,105,84.0,1260.0
Filial D,Porto Velho,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,96,12,2023-01-11,2,1,2023,167,133.6,1603.1999999999998
Filial E,Boa Vista,F,Móveis,Pessoa Física,Promoção A,16,16,2023-01-12,2,1,2023,79,71.10000000000001,1137.6000000000001
Filial B,Macapá,M,Ar condicionado,Pessoa Física,Promoção C,72,14,2023-01-13,2,1,2023,47,32.9,460.59999999999997
Filial D,Macapá,M,Informática,Pessoa Física,Promoção A,76,15,2023-01-14,2,1,2023,106,95.4,1431.0
Filial D,Rio Branco,F,Móveis,Pessoa Física,Promoção B,24,15,2023-01-15,2,1,2023,117,93.60000000000001,1404.0000000000002
Filial D,Porto Velho,F,Móveis,Pessoa Física,Promoção B,28,19,2023-01-16,3,1,2023,128,102.4,1945.6000000000001
Filial A,Porto Velho,M,Ar condicionado,Pessoa Física,Promoção C,8,8,2023-01-17,3,1,2023,160,112.0,896.0
Filial A,Rio Branco,M,Informática,Pessoa Física,Sem Promoção,92,2,2023-01-18,3,1,2023,83,83.0,166.0
Filial C,Porto Velho,F,Informática,Pessoa Física,Promoção B,36,2,2023-01-19,3,1,2023,66,52.800000000000004,105.60000000000001
Filial B,Manaus,M,Informática,Pessoa Física,Promoção B,90,10,2023-01-20,3,1,2023,119,95.2,952.0
Filial D,Macapá,F,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,8,3,2023-01-21,3,1,2023,88,88.0,264.0
Filial B,Manaus,F,Ar condicionado,Pessoa Física,Promoção A,58,17,2023-01-22,3,1,2023,160,144.0,2448.0
Filial C,Rio Branco,M,Móveis,Pessoa Jurídica,Promoção C,60,8,2023-01-23,4,1,2023,45,31.499999999999996,251.99999999999997
Filial E,Boa Vista,M,Informática,Pessoa Jurídica,Sem Promoção,50,4,2023-01-24,4,1,2023,66,66.0,264.0
Filial C,Palmas,M,Móveis,Pessoa Jurídica,Sem Promoção,28,14,2023-01-25,4,1,2023,138,138.0,1932.0
Filial D,Porto Velho,F,Móveis,Pessoa Física,Sem Promoção,92,10,2023-01-26,4,1,2023,12,12.0,120.0
Filial E,Manaus,M,Móveis,Pessoa Jurídica,Promoção A,41,1,2023-01-27,4,1,2023,23,20.7,20.7
Filial E,Porto Velho,F,Ar condicionado,Pessoa Física,Promoção A,64,4,2023-01-28,4,1,2023,43,38.7,154.8
Filial C,Macapá,F,Ar condicionado,Pessoa Física,Sem Promoção,27,1,2023-01-29,4,1,2023,79,79.0,79.0
Filial D,Porto Velho,F,Móveis,Pessoa Jurídica,Promoção B,63,17,2023-01-30,5,1,2023,78,62.400000000000006,1060.8000000000002
Filial E,Rio Branco,F,Ar condicionado,Pessoa Jurídica,Promoção A,17,17,2023-01-31,5,1,2023,188,169.20000000000002,2876.4
Filial C,Porto Velho,M,Eletro-eletrônicos,Pessoa Física,Promoção B,73,7,2023-02-01,5,2,2023,113,90.4,632.8000000000001
Filial C,Belém,M,Ar condicionado,Pessoa Jurídica,Sem Promoção,33,15,2023-02-02,5,2,2023,38,38.0,570.0
Filial D,Boa Vista,M,Eletro-eletrônicos,Pessoa Física,Promoção C,84,13,2023-02-03,5,2,2023,57,39.9,518.6999999999999
Filial C,Porto Velho,M,Ar condicionado,Pessoa Jurídica,Promoção C,77,2,2023-02-04,5,2,2023,103,72.1,144.2
Filial C,Porto Velho,F,Eletro-eletrônicos,Pessoa Física,Sem Promoção,92,19,2023-02-05,5,2,2023,88,88.0,1672.0
Filial C,Palmas,M,Ar condicionado,Pessoa Jurídica,Sem Promoção,29,13,2023-02-06,6,2,2023,126,126.0,1638.0
Filial B,Rio Branco,M,Móveis,Pessoa Jurídica,Sem Promoção,13,11,2023-02-07,6,2,2023,153,153.0,1683.0
Filial A,Porto Velho,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,46,15,2023-02-08,6,2,2023,194,155.20000000000002,2328.0000000000005
Filial B,Rio Branco,M,Informática,Pessoa Física,Promoção A,35,10,2023-02-09,6,2,2023,147,132.3,1323.0
Filial C,Manaus,M,Informática,Pessoa Jurídica,Promoção A,6,9,2023-02-10,6,2,2023,156,140.4,1263.6000000000001
Filial A,Rio Branco,M,Móveis,Pessoa Física,Promoção B,82,9,2023-02-11,6,2,2023,76,60.800000000000004,547.2
Filial E,Macapá,M,Ar condicionado,Pessoa Jurídica,Sem Promoção,69,1,2023-02-12,6,2,2023,173,173.0,173.0
Filial B,Boa Vista,M,Móveis,Pessoa Jurídica,Promoção C,47,17,2023-02-13,7,2,2023,141,98.69999999999999,1677.8999999999999
Filial B,Porto Velho,M,Móveis,Pessoa Jurídica,Promoção B,25,12,2023-02-14,7,2,2023,84,67.2,806.4000000000001
Filial B,Palmas,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção A,66,10,2023-02-15,7,2,2023,170,153.0,1530.0
Filial D,Rio Branco,F,Ar condicionado,Pessoa Física,Promoção C,10,5,2023-02-16,7,2,2023,37,25.9,129.5
Filial C,Boa Vista,F,Eletro-eletrônicos,Pessoa Física,Sem Promoção,56,18,2023-02-17,7,2,2023,130,130.0,2340.0
Filial E,Boa Vista,M,Ar condicionado,Pessoa Jurídica,Promoção A,30,15,2023-02-18,7,2,2023,18,16.2,243.0
Filial E,Manaus,F,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,5,6,2023-02-19,7,2,2023,143,143.0,858.0
Filial E,Belém,M,Móveis,Pessoa Física,Promoção C,33,7,2023-02-20,8,2,2023,132,92.39999999999999,646.8
Filial C,Palmas,M,Móveis,Pessoa Jurídica,Promoção C,65,17,2023-02-21,8,2,2023,58,40.599999999999994,690.1999999999999
Filial A,Boa Vista,M,Móveis,Pessoa Física,Promoção B,18,6,2023-02-22,8,2,2023,100,80.0,480.0
Filial B,Rio Branco,M,Ar condicionado,Pessoa Jurídica,Sem Promoção,96,8,2023-02-23,8,2,2023,134,134.0,1072.0
Filial C,Belém,M,Móveis,Pessoa Jurídica,Sem Promoção,49,12,2023-02-24,8,2,2023,85,85.0,1020.0
Filial B,Manaus,F,Ar condicionado,Pessoa Física,Sem Promoção,11,14,2023-02-25,8,2,2023,159,159.0,2226.0
Filial C,Macapá,F,Informática,Pessoa Física,Sem Promoção,85,12,2023-02-26,8,2,2023,113,113.0,1356.0
Filial B,Macapá,F,Eletro-eletrônicos,Pessoa Física,Sem Promoção,26,10,2023-02-27,9,2,2023,185,185.0,1850.0
Filial C,Macapá,M,Ar condicionado,Pessoa Jurídica,Promoção A,63,15,2023-02-28,9,2,2023,158,142.20000000000002,2133.0000000000005
Filial A,Boa Vista,M,Informática,Pessoa Física,Promoção A,89,7,2023-03-01,9,3,2023,42,37.800000000000004,264.6
Filial E,Belém,M,Móveis,Pessoa Jurídica,Promoção A,86,9,2023-03-02,9,3,2023,193,173.70000000000002,1563.3000000000002
Filial B,Manaus,F,Ar condicionado,Pessoa Jurídica,Sem Promoção,59,10,2023-03-03,9,3,2023,166,166.0,1660.0
Filial C,Belém,F,Informática,Pessoa Jurídica,Sem Promoção,27,10,2023-03-04,9,3,2023,62,62.0,620.0
Filial A,Porto Velho,M,Móveis,Pessoa Física,Promoção C,49,16,2023-03-05,9,3,2023,49,34.3,548.8
Filial A,Boa Vista,M,Informática,Pessoa Jurídica,Promoção C,77,7,2023-03-06,10,3,2023,27,18.9,132.29999999999998
Filial E,Palmas,F,Ar condicionado,Pessoa Física,Promoção C,33,5,2023-03-07,10,3,2023,184,128.79999999999998,643.9999999999999
Filial C,Rio Branco,M,Eletro-eletrônicos,Pessoa Física,Promoção B,98,3,2023-03-08,10,3,2023,22,17.6,52.800000000000004
Filial B,Palmas,M,Eletro-eletrônicos,Pessoa Física,Promoção B,99,18,2023-03-09,10,3,2023,164,131.20000000000002,2361.6000000000004
Filial D,Palmas,F,Ar condicionado,Pessoa Física,Promoção C,1,11,2023-03-10,10,3,2023,199,139.29999999999998,1532.2999999999997
Filial A,Palmas,M,Informática,Pessoa Jurídica,Promoção C,21,15,2023-03-11,10,3,2023,83,58.099999999999994,871.4999999999999
Filial A,Manaus,M,Ar condicionado,Pessoa Física,Promoção A,55,5,2023-03-12,10,3,2023,105,94.5,472.5
Filial E,Belém,M,Móveis,Pessoa Jurídica,Promoção A,6,12,2023-03-13,11,3,2023,114,102.60000000000001,1231.2
Filial C,Belém,M,Ar condicionado,Pessoa Jurídica,Promoção A,92,4,2023-03-14,11,3,2023,182,163.8,655.2
Filial D,Macapá,M,Eletro-eletrônicos,Pessoa Física,Promoção A,81,15,2023-03-15,11,3,2023,140,126.0,1890.0
Filial D,Belém,M,Ar condicionado,Pessoa Física,Promoção C,69,9,2023-03-16,11,3,2023,159,111.3,1001.6999999999999
Filial D,Belém,F,Informática,Pessoa Jurídica,Promoção B,95,7,2023-03-17,11,3,2023,164,131.20000000000002,918.4000000000001
Filial C,Boa Vista,M,Ar condicionado,Pessoa Física,Sem Promoção,5,10,2023-03-18,11,3,2023,192,192.0,1920.0
Filial B,Manaus,F,Móveis,Pessoa Jurídica,Promoção B,3,13,2023-03-19,11,3,2023,76,60.800000000000004,790.4000000000001
Filial A,Porto Velho,M,Móveis,Pessoa Física,Promoção A,53,8,2023-03-20,12,3,2023,42,37.800000000000004,302.40000000000003
Filial C,Porto Velho,M,Informática,Pessoa Jurídica,Promoção B,23,12,2023-03-21,12,3,2023,11,8.8,105.60000000000001
Filial D,Rio Branco,F,Móveis,Pessoa Jurídica,Promoção B,53,19,2023-03-22,12,3,2023,84,67.2,1276.8
Filial A,Macapá,F,Ar condicionado,Pessoa Física,Promoção C,37,1,2023-03-23,12,3,2023,183,128.1,128.1
Filial A,Boa Vista,F,Informática,Pessoa Jurídica,Promoção A,74,16,2023-03-24,12,3,2023,83,74.7,1195.2
Filial D,Belém,M,Móveis,Pessoa Jurídica,Promoção A,74,17,2023-03-25,12,3,2023,170,153.0,2601.0
Filial D,Porto Velho,M,Móveis,Pessoa Física,Sem Promoção,83,18,2023-03-26,12,3,2023,195,195.0,3510.0
Filial A,Rio Branco,F,Informática,Pessoa Jurídica,Promoção C,17,11,2023-03-27,13,3,2023,144,100.8,1108.8
Filial E,Palmas,F,Móveis,Pessoa Jurídica,Promoção B,85,18,2023-03-28,13,3,2023,152,121.60000000000001,2188.8
Filial A,Manaus,M,Ar condicionado,Pessoa Jurídica,Sem Promoção,78,7,2023-03-29,13,3,2023,35,35.0,245.0
Filial B,Macapá,F,Móveis,Pessoa Jurídica,Promoção B,73,18,2023-03-30,13,3,2023,148,118.4,2131.2000000000003
Filial B,Rio Branco,F,Ar condicionado,Pessoa Jurídica,Promoção A,1,8,2023-03-31,13,3,2023,137,123.3,986.4
Filial E,Palmas,F,Ar condicionado,Pessoa Jurídica,Sem Promoção,51,6,2023-04-01,13,4,2023,175,175.0,1050.0
Filial C,Macapá,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,45,7,2023-04-02,13,4,2023,36,28.8,201.6
Filial A,Manaus,M,Informática,Pessoa Jurídica,Promoção B,77,10,2023-04-03,14,4,2023,144,115.2,1152.0
Filial B,Belém,M,Informática,Pessoa Física,Sem Promoção,4,11,2023-04-04,14,4,2023,138,138.0,1518.0
Filial A,Manaus,M,Móveis,Pessoa Física,Promoção B,62,13,2023-04-05,14,4,2023,30,24.0,312.0
Filial E,Rio Branco,F,Ar condicionado,Pessoa Física,Promoção A,65,9,2023-04-06,14,4,2023,88,79.2,712.8000000000001
Filial D,Macapá,F,Informática,Pessoa Física,Sem Promoção,32,7,2023-04-07,14,4,2023,167,167.0,1169.0
Filial E,Belém,F,Informática,Pessoa Jurídica,Promoção C,34,9,2023-04-08,14,4,2023,103,72.1,648.9
Filial E,Belém,F,Ar condicionado,Pessoa Física,Promoção A,92,13,2023-04-09,14,4,2023,17,15.3,198.9
Filial E,Belém,M,Móveis,Pessoa Jurídica,Promoção C,95,3,2023-04-10,15,4,2023,92,64.39999999999999,193.2
Filial B,Manaus,M,Informática,Pessoa Física,Promoção A,72,3,2023-04-11,15,4,2023,12,10.8,32.400000000000006
Filial E,Manaus,M,Móveis,Pessoa Jurídica,Promoção B,39,1,2023-04-12,15,4,2023,64,51.2,51.2
Filial D,Belém,M,Ar condicionado,Pessoa Física,Promoção C,26,2,2023-04-13,15,4,2023,152,106.39999999999999,212.79999999999998
Filial D,Porto Velho,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção C,34,3,2023-04-14,15,4,2023,45,31.499999999999996,94.49999999999999
Filial D,Boa Vista,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção A,54,15,2023-04-15,15,4,2023,15,13.5,202.5
Filial C,Macapá,F,Móveis,Pessoa Jurídica,Sem Promoção,3,6,2023-04-16,15,4,2023,130,130.0,780.0
Filial E,Belém,F,Móveis,Pessoa Jurídica,Sem Promoção,50,13,2023-04-17,16,4,2023,51,51.0,663.0
Filial D,Manaus,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção C,12,1,2023-04-18,16,4,2023,59,41.3,41.3
Filial C,Manaus,M,Móveis,Pessoa Jurídica,Promoção A,65,19,2023-04-19,16,4,2023,121,108.9,2069.1
Filial E,Macapá,M,Informática,Pessoa Física,Promoção C,54,1,2023-04-20,16,4,2023,155,108.5,108.5
Filial E,Macapá,M,Ar condicionado,Pessoa Física,Promoção B,5,2,2023-04-21,16,4,2023,59,47.2,94.4
Filial A,Boa Vista,M,Informática,Pessoa Jurídica,Sem Promoção,94,15,2023-04-22,16,4,2023,39,39.0,585.0
Filial E,Manaus,M,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,94,14,2023-04-23,16,4,2023,48,48.0,672.0
Filial A,Rio Branco,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,57,19,2023-04-24,17,4,2023,125,100.0,1900.0
Filial B,Rio Branco,M,Eletro-eletrônicos,Pessoa Física,Sem Promoção,17,11,2023-04-25,17,4,2023,149,149.0,1639.0
Filial B,Boa Vista,M,Eletro-eletrônicos,Pessoa Física,Promoção B,47,15,2023-04-26,17,4,2023,68,54.400000000000006,816.0000000000001
Filial C,Macapá,M,Informática,Pessoa Jurídica,Promoção C,23,6,2023-04-27,17,4,2023,85,59.49999999999999,356.99999999999994
Filial A,Manaus,F,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,79,9,2023-04-28,17,4,2023,181,181.0,1629.0
Filial B,Macapá,M,Ar condicionado,Pessoa Jurídica,Promoção B,85,5,2023-04-29,17,4,2023,141,112.80000000000001,564.0
Filial B,Manaus,F,Informática,Pessoa Física,Promoção B,14,2,2023-04-30,17,4,2023,173,138.4,276.8
Filial B,Boa Vista,F,Móveis,Pessoa Física,Promoção B,66,6,2023-05-01,18,5,2023,57,45.6,273.6
Filial E,Palmas,F,Informática,Pessoa Jurídica,Sem Promoção,75,18,2023-05-02,18,5,2023,151,151.0,2718.0
Filial A,Porto Velho,M,Ar condicionado,Pessoa Jurídica,Promoção B,51,19,2023-05-03,18,5,2023,90,72.0,1368.0
Filial B,Belém,M,Eletro-eletrônicos,Pessoa Física,Promoção B,38,9,2023-05-04,18,5,2023,58,46.400000000000006,417.6
Filial A,Boa Vista,M,Informática,Pessoa Jurídica,Promoção B,64,6,2023-05-05,18,5,2023,76,60.800000000000004,364.8
Filial D,Macapá,F,Informática,Pessoa Física,Promoção A,98,14,2023-05-06,18,5,2023,86,77.4,1083.6000000000001
Filial D,Macapá,F,Informática,Pessoa Física,Promoção C,38,13,2023-05-07,18,5,2023,146,102.19999999999999,1328.6
Filial E,Belém,M,Eletro-eletrônicos,Pessoa Física,Promoção B,50,11,2023-05-08,19,5,2023,30,24.0,264.0
Filial D,Belém,M,Eletro-eletrônicos,Pessoa Física,Promoção A,98,12,2023-05-09,19,5,2023,114,102.60000000000001,1231.2
Filial C,Belém,M,Móveis,Pessoa Jurídica,Promoção B,82,19,2023-05-10,19,5,2023,81,64.8,1231.2
Filial A,Macapá,M,Ar condicionado,Pessoa Física,Promoção A,30,19,2023-05-11,19,5,2023,25,22.5,427.5
Filial B,Boa Vista,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção A,79,19,2023-05-12,19,5,2023,153,137.70000000000002,2616.3
Filial C,Rio Branco,F,Móveis,Pessoa Jurídica,Sem Promoção,91,13,2023-05-13,19,5,2023,37,37.0,481.0
Filial C,Palmas,M,Informática,Pessoa Física,Promoção C,51,14,2023-05-14,19,5,2023,188,131.6,1842.3999999999999
Filial D,Belém,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção A,63,18,2023-05-15,20,5,2023,193,173.70000000000002,3126.6000000000004
Filial A,Manaus,M,Móveis,Pessoa Física,Promoção A,98,12,2023-05-16,20,5,2023,89,80.10000000000001,961.2
Filial B,Macapá,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,52,4,2023-05-17,20,5,2023,66,52.800000000000004,211.20000000000002
Filial C,Porto Velho,F,Ar condicionado,Pessoa Jurídica,Promoção A,38,10,2023-05-18,20,5,2023,119,107.10000000000001,1071.0
Filial E,Palmas,M,Ar condicionado,Pessoa Física,Promoção B,97,17,2023-05-19,20,5,2023,61,48.800000000000004,829.6
Filial B,Macapá,F,Informática,Pessoa Física,Promoção C,88,4,2023-05-20,20,5,2023,183,128.1,512.4
Filial D,Boa Vista,F,Móveis,Pessoa Física,Promoção A,79,12,2023-05-21,20,5,2023,175,157.5,1890.0
Filial A,Boa Vista,M,Informática,Pessoa Jurídica,Sem Promoção,30,13,2023-05-22,21,5,2023,93,93.0,1209.0
Filial E,Belém,M,Informática,Pessoa Física,Promoção A,51,4,2023-05-23,21,5,2023,57,51.300000000000004,205.20000000000002
Filial B,Porto Velho,M,Ar condicionado,Pessoa Física,Sem Promoção,81,10,2023-05-24,21,5,2023,136,136.0,1360.0
Filial B,Macapá,M,Móveis,Pessoa Jurídica,Promoção A,5,3,2023-05-25,21,5,2023,178,160.20000000000002,480.6
Filial C,Manaus,M,Móveis,Pessoa Física,Sem Promoção,29,15,2023-05-26,21,5,2023,107,107.0,1605.0
Filial B,Belém,M,Ar condicionado,Pessoa Jurídica,Promoção C,4,2,2023-05-27,21,5,2023,127,88.89999999999999,177.79999999999998
Filial A,Palmas,M,Informática,Pessoa Física,Promoção A,10,17,2023-05-28,21,5,2023,196,176.4,2998.8
Filial A,Porto Velho,F,Eletro-eletrônicos,Pessoa Física,Promoção C,56,6,2023-05-29,22,5,2023,102,71.39999999999999,428.4
Filial B,Boa Vista,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,17,8,2023-05-30,22,5,2023,76,60.800000000000004,486.40000000000003
Filial C,Manaus,M,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,74,3,2023-05-31,22,5,2023,83,83.0,249.0
Filial E,Boa Vista,M,Móveis,Pessoa Jurídica,Promoção A,17,18,2023-06-01,22,6,2023,93,83.7,1506.6000000000001
Filial E,Belém,M,Informática,Pessoa Jurídica,Promoção B,84,1,2023-06-02,22,6,2023,164,131.20000000000002,131.20000000000002
Filial C,Manaus,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção A,88,16,2023-06-03,22,6,2023,169,152.1,2433.6
Filial D,Boa Vista,M,Eletro-eletrônicos,Pessoa Física,Sem Promoção,69,7,2023-06-04,22,6,2023,193,193.0,1351.0
Filial A,Macapá,F,Informática,Pessoa Jurídica,Promoção B,34,3,2023-06-05,23,6,2023,19,15.200000000000001,45.6
Filial D,Macapá,F,Móveis,Pessoa Jurídica,Promoção B,6,4,2023-06-06,23,6,2023,177,141.6,566.4
Filial C,Porto Velho,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção C,53,9,2023-06-07,23,6,2023,154,107.8,970.1999999999999
Filial D,Belém,M,Ar condicionado,Pessoa Física,Sem Promoção,66,5,2023-06-08,23,6,2023,195,195.0,975.0
Filial C,Manaus,M,Informática,Pessoa Física,Promoção A,77,19,2023-06-09,23,6,2023,127,114.3,2171.7
Filial E,Boa Vista,F,Móveis,Pessoa Física,Sem Promoção,43,15,2023-06-10,23,6,2023,106,106.0,1590.0
Filial E,Porto Velho,F,Informática,Pessoa Jurídica,Promoção B,75,8,2023-06-11,23,6,2023,15,12.0,96.0
Filial D,Boa Vista,F,Móveis,Pessoa Jurídica,Promoção B,23,6,2023-06-12,24,6,2023,176,140.8,844.8000000000001
Filial D,Macapá,M,Ar condicionado,Pessoa Jurídica,Promoção C,55,18,2023-06-13,24,6,2023,27,18.9,340.2
Filial A,Porto Velho,F,Ar condicionado,Pessoa Física,Promoção A,80,19,2023-06-14,24,6,2023,81,72.9,1385.1000000000001
Filial E,Belém,F,Eletro-eletrônicos,Pessoa Jurídica,Promoção B,95,15,2023-06-15,24,6,2023,98,78.4,1176.0
Filial A,Manaus,F,Móveis,Pessoa Física,Promoção A,75,7,2023-06-16,24,6,2023,51,45.9,321.3
Filial D,Macapá,M,Ar condicionado,Pessoa Jurídica,Sem Promoção,16,10,2023-06-17,24,6,2023,13,13.0,130.0
Filial C,Macapá,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção A,8,6,2023-06-18,24,6,2023,29,26.1,156.60000000000002
Filial E,Rio Branco,M,Eletro-eletrônicos,Pessoa Física,Sem Promoção,4,14,2023-06-19,25,6,2023,37,37.0,518.0
Filial C,Macapá,F,Ar condicionado,Pessoa Jurídica,Promoção A,4,17,2023-06-20,25,6,2023,177,159.3,2708.1000000000004
Filial A,Palmas,F,Informática,Pessoa Jurídica,Promoção B,56,9,2023-06-21,25,6,2023,113,90.4,813.6
Filial A,Porto Velho,F,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,25,19,2023-06-22,25,6,2023,53,53.0,1007.0
Filial B,Porto Velho,M,Móveis,Pessoa Física,Promoção A,67,5,2023-06-23,25,6,2023,32,28.8,144.0
Filial E,Boa Vista,M,Informática,Pessoa Jurídica,Sem Promoção,96,7,2023-06-24,25,6,2023,194,194.0,1358.0
Filial E,Belém,M,Móveis,Pessoa Jurídica,Sem Promoção,67,19,2023-06-25,25,6,2023,56,56.0,1064.0
Filial A,Palmas,F,Ar condicionado,Pessoa Jurídica,Sem Promoção,27,7,2023-06-26,26,6,2023,22,22.0,154.0
Filial C,Palmas,M,Ar condicionado,Pessoa Jurídica,Sem Promoção,93,2,2023-06-27,26,6,2023,153,153.0,306.0
Filial E,Palmas,F,Informática,Pessoa Física,Promoção A,32,16,2023-06-28,26,6,2023,192,172.8,2764.8
Filial A,Macapá,F,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,50,13,2023-06-29,26,6,2023,104,104.0,1352.0
Filial B,Rio Branco,F,Móveis,Pessoa Jurídica,Promoção B,61,8,2023-06-30,26,6,2023,25,20.0,160.0
Filial D,Porto Velho,M,Ar condicionado,Pessoa Jurídica,Promoção C,51,6,2023-07-01,26,7,2023,128,89.6,537.5999999999999
Filial E,Porto Velho,F,Ar condicionado,Pessoa Física,Promoção B,19,6,2023-07-02,26,7,2023,174,139.20000000000002,835.2
Filial D,Palmas,F,Móveis,Pessoa Física,Promoção B,21,9,2023-07-03,27,7,2023,189,151.20000000000002,1360.8000000000002
Filial C,Palmas,M,Móveis,Pessoa Jurídica,Promoção A,5,4,2023-07-04,27,7,2023,126,113.4,453.6
Filial B,Macapá,M,Informática,Pessoa Física,Sem Promoção,82,11,2023-07-05,27,7,2023,19,19.0,209.0
Filial E,Boa Vista,M,Informática,Pessoa Jurídica,Promoção B,92,5,2023-07-06,27,7,2023,131,104.80000000000001,524.0
Filial D,Manaus,M,Ar condicionado,Pessoa Jurídica,Promoção A,42,17,2023-07-07,27,7,2023,47,42.300000000000004,719.1
Filial D,Manaus,F,Informática,Pessoa Jurídica,Promoção C,61,7,2023-07-08,27,7,2023,53,37.099999999999994,259.69999999999993
Filial A,Palmas,M,Ar condicionado,Pessoa Física,Promoção C,22,15,2023-07-09,27,7,2023,104,72.8,1092.0
Filial D,Manaus,F,Ar condicionado,Pessoa Jurídica,Sem Promoção,21,15,2023-07-10,28,7,2023,83,83.0,1245.0
Filial C,Boa Vista,F,Móveis,Pessoa Jurídica,Promoção B,70,14,2023-07-11,28,7,2023,191,152.8,2139.2000000000003
Filial D,Boa Vista,F,Ar condicionado,Pessoa Jurídica,Promoção B,1,13,2023-07-12,28,7,2023,122,97.60000000000001,1268.8000000000002
Filial C,Belém,M,Informática,Pessoa Física,Promoção A,5,11,2023-07-13,28,7,2023,60,54.0,594.0
Filial C,Rio Branco,F,Móveis,Pessoa Jurídica,Promoção A,12,13,2023-07-14,28,7,2023,61,54.9,713.6999999999999
Filial A,Manaus,F,Ar condicionado,Pessoa Física,Promoção C,90,9,2023-07-15,28,7,2023,101,70.69999999999999,636.3
Filial B,Palmas,M,Informática,Pessoa Física,Promoção C,46,10,2023-07-16,28,7,2023,68,47.599999999999994,475.99999999999994
Filial C,Porto Velho,F,Eletro-eletrônicos,Pessoa Física,Sem Promoção,34,4,2023-07-17,29,7,2023,22,22.0,88.0
Filial D,Boa Vista,F,Móveis,Pessoa Física,Promoção A,49,17,2023-07-18,29,7,2023,178,160.20000000000002,2723.4
Filial D,Manaus,M,Informática,Pessoa Jurídica,Promoção C,78,14,2023-07-19,29,7,2023,21,14.7,205.79999999999998
Filial C,Porto Velho,M,Eletro-eletrônicos,Pessoa Jurídica,Sem Promoção,90,18,2023-07-20,29,7,2023,59,59.0,1062.0
Filial D,Palmas,F,Informática,Pessoa Física,Promoção B,45,11,2023-07-21,29,7,2023,66,52.800000000000004,580.8000000000001
Filial E,Belém,M,Informática,Pessoa Física,Promoção C,27,16,2023-07-22,29,7,2023,187,130.9,2094.4
Filial A,Macapá,F,Informática,Pessoa Física,Promoção C,73,1,2023-07-23,29,7,2023,128,89.6,89.6
Filial D,Rio Branco,M,Eletro-eletrônicos,Pessoa Jurídica,Promoção C,26,7,2023-07-24,30,7,2023,66,46.199999999999996,323.4
Filial A,Porto Velho,F,Móveis,Pessoa Jurídica,Promoção C,47,10,2023-07-25,30,7,2023,191,133.7,1337.0
Filial C,Manaus,F,Informática,Pessoa Física,Promoção A,86,9,2023-07-26,30,7,2023,17,15.3,137.70000000000002
Filial C,Macapá,M,Móveis,Pessoa Física,Promoção B,56,3,2023-07-27,30,7,2023,115,92.0,276.0
Filial C,Macapá,F,Ar condicionado,Pessoa Jurídica,Promoção C,94,14,2023-07-28,30,7,2023,146,102.19999999999999,1430.7999999999997
Filial A,Belém,F,Informática,Pessoa Jurídica,Promoção C,63,15,2023-07-29,30,7,2023,197,137.89999999999998,2068.4999999999995
Filial D,Belém,M,Informática,Pessoa Jurídica,Promoção B,48,2,2023-07-30,30,7,2023,129,103.2,206.4
Filial E,Macapá,F,Informática,Pessoa Física,Sem Promoção,61,14,2023-07-31,31,7,2023,72,72.0,1008.0
Filial A,Manaus,M,Ar condicionado,Pessoa Física,Sem Promoção,81,16,2023-08-01,31,8,2023,81,81.0,1296.0
Filial E,Palmas,M,Eletro-eletrônicos,Pessoa Física,Promoção A,26,7,2023-08-02,31,8,2023,140,126.0,882.0
Filial D,Macapá,F,Eletro-eletrônicos,Pessoa Física,Promoção B,36,4,2023-08-03,31,8,2023,22,17.6,70.4
